,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"thank u, next","Ariana Grande",9606415,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH
2,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake",5586613,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM
3,"MIA (feat. Drake)","Bad Bunny",4130247,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO
4,BAD,XXXTENTACION,3719393,https://open.spotify.com/track/4CH66Rxcjcj3VBHwmIBj4T
5,Happier,Marshmello,3528899,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
6,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",3321653,https://open.spotify.com/track/1A6OTy97kk0mMdm78rHsm8
7,"Without Me",Halsey,3317730,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
8,Shallow,"Lady Gaga",3276979,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
9,"Arms Around You (feat. Maluma & Swae Lee)",XXXTENTACION,3257366,https://open.spotify.com/track/2LskIZrCeLxRvCiGP8gxlh
10,"ZEZE (feat. Travis Scott & Offset)","Kodak Black",3066490,https://open.spotify.com/track/7l3E7lcozEodtVsSTCkcaA
11,"SICKO MODE","Travis Scott",2908795,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
12,"Bad Liar","Imagine Dragons",2651606,https://open.spotify.com/track/2RSHsoi04658QL5xgQVov3
13,Natural,"Imagine Dragons",2633269,https://open.spotify.com/track/2FY7b99s15jUprqC0M5NCT
14,"Mo Bamba","Sheck Wes",2603067,https://open.spotify.com/track/1xzBco0xcoJEDXktl7Jxrr
15,"Bohemian Rhapsody - Remastered 2011",Queen,2574154,https://open.spotify.com/track/7tFiyTwD0nx5a1eklYtX2J
16,"Falling Down","Lil Peep",2418047,https://open.spotify.com/track/4jvjzW7Hm0yK4LvvE0Paz9
17,"Sweet but Psycho","Ava Max",2398215,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
18,"when the party's over","Billie Eilish",2380797,https://open.spotify.com/track/14JzyD6FlBD5z0wV5P07YI
19,Better,Khalid,2305660,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ
20,"In My Mind",Dynoro,2233214,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
21,"Eastside (with Halsey & Khalid)","benny blanco",2217755,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao
22,"Girls Like You (feat. Cardi B)","Maroon 5",2163545,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
23,"Lucid Dreams","Juice WRLD",2126425,https://open.spotify.com/track/0s3nnoMeVWz3989MkNQiRf
24,"Promises (with Sam Smith)","Calvin Harris",2112474,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg
25,"Be Alright","Dean Lewis",2053339,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm
26,SAD!,XXXTENTACION,2020186,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
27,"Drip Too Hard (Lil Baby & Gunna)","Lil Baby",1994883,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE
28,"Woman Like Me (feat. Nicki Minaj)","Little Mix",1943414,https://open.spotify.com/track/6rrTr2HEAzlpC4KWZxF3S1
29,"Kiss and Make Up","Dua Lipa",1917847,https://open.spotify.com/track/13hvHEstJ4sNbzdroPrPI3
30,"Better Now","Post Malone",1891521,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
31,Moonlight,XXXTENTACION,1859718,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
32,"Let You Love Me","Rita Ora",1856736,https://open.spotify.com/track/6xtcFXSo8H9BZN637BMVKS
33,"I Love It (& Lil Pump)","Kanye West",1841493,https://open.spotify.com/track/4S8d14HvHb70ImctNgVzQQ
34,"Vaina Loca",Ozuna,1811062,https://open.spotify.com/track/48zFZh27QU5qsrBjn4C2FA
35,"Armed And Dangerous","Juice WRLD",1802509,https://open.spotify.com/track/6SAKXCj5jyF6IgPCPbZ5ra
36,breathin,"Ariana Grande",1709100,https://open.spotify.com/track/4OafepJy2teCjYJbvFE60J
37,BEBE,6ix9ine,1704234,https://open.spotify.com/track/7ATATJztoWLcqDAcVVof0C
38,Topanga,"Trippie Redd",1670068,https://open.spotify.com/track/5aXgz1oKK8Q9z9xvTmSnrO
39,"Ruin My Life","Zara Larsson",1665384,https://open.spotify.com/track/5tAa8Uaqr4VvA3693mbIhU
40,"In My Feelings",Drake,1651596,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
41,"Taste (feat. Offset)",Tyga,1623401,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
42,"Another One Bites The Dust - Remastered 2011",Queen,1550281,https://open.spotify.com/track/5vdp5UmvTsnMEMESIF2Ym7
43,"High Hopes","Panic! At The Disco",1548809,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
44,"Always Remember Us This Way","Lady Gaga",1544385,https://open.spotify.com/track/2rbDhOo9Fh61Bbu23T2qCk
45,Youngblood,"5 Seconds of Summer",1544326,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
46,"Wake Up in the Sky","Gucci Mane",1521728,https://open.spotify.com/track/0QIjsbm2fh1cJ45XO9eGqq
47,"I Like It","Cardi B",1500877,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
48,"God is a woman","Ariana Grande",1477430,https://open.spotify.com/track/5OCJzvD7sykQEKHH7qAC3C
49,"Cuando Te Besé","Becky G",1476285,https://open.spotify.com/track/2XXMDz7SPZ4mSFN1PXfHUy
50,"Sex with My Ex","Lil Peep",1469637,https://open.spotify.com/track/0H1Had94fszD13qsFsP1U5
51,"10 Freaky Girls (with 21 Savage)","Metro Boomin",1467938,https://open.spotify.com/track/43lYaovU2FoeuBMNusVVVW
52,"no tears left to cry","Ariana Grande",1419231,https://open.spotify.com/track/2qT1uLXPVPzGgFOx4jtEuo
53,"Te Boté - Remix","Nio Garcia",1417802,https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i
54,"rockstar (feat. 21 Savage)","Post Malone",1398687,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
55,"FEFE (feat. Nicki Minaj & Murda Beatz)",6ix9ine,1382214,https://open.spotify.com/track/2E124GmJRnBJuXbTb4cPUB
56,"No Stylist","French Montana",1362238,https://open.spotify.com/track/04MLEeAMuV9IlHEsD8vF6A
57,"Jocelyn Flores",XXXTENTACION,1344741,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
58,"Love Someone","Lukas Graham",1315432,https://open.spotify.com/track/3id2EVGKc3eFAMn9nFnB0r
59,"Happy Now (feat. Sandro Cavazza)",Kygo,1313994,https://open.spotify.com/track/14sOS5L36385FJ3OL8hew4
60,Machine,"Imagine Dragons",1289342,https://open.spotify.com/track/4uGY9CqDtGtaTTLg1cgsWD
61,"Adan y Eva","Paulo Londra",1282906,https://open.spotify.com/track/6FyRXC8tJUh863JCkyWqtk
62,"1400 / 999 Freestyle","Trippie Redd",1270457,https://open.spotify.com/track/75lcPkAkUsKWHGBlGM476R
63,Nonstop,Drake,1269744,https://open.spotify.com/track/0TlLq3lA83rQOYtrqBqSct
64,"Don't Stop Me Now - Remastered",Queen,1251735,https://open.spotify.com/track/5T8EDUDqKcs6OSOwEsfqG7
65,Rise,"Jonas Blue",1233761,https://open.spotify.com/track/3KLygy1YWhmrQx0GRs7IOx
66,"Somebody To Love - Remastered 2011",Queen,1230119,https://open.spotify.com/track/6cFZ4PLC19taNlpl9pbGMf
67,"CABRIOLET (feat. Sfera Ebbasta)",Salmo,1228038,https://open.spotify.com/track/7wC76LWyNxaP3hjGzbWOcN
68,"Under Pressure - Remastered",Queen,1227601,https://open.spotify.com/track/2fuCquhmrzHpu5xcA1ci9x
69,"Life is Beautiful","Lil Peep",1222840,https://open.spotify.com/track/5rYpwP1dHWGVMrSZbTmt3e
70,"Suncity (feat. Empress Of)",Khalid,1215955,https://open.spotify.com/track/4AhSkRYioEIfGvCV19peYN
71,"STAI ZITTO (feat. Fabri Fibra)",Salmo,1215303,https://open.spotify.com/track/2rgOAX5Cj3pk8JFnaPwJbd
72,"lovely (with Khalid)","Billie Eilish",1209993,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
73,"Electricity (with Dua Lipa)","Silk City",1195678,https://open.spotify.com/track/5N4erncE7kuUccm7zEmwzk
74,"Body (feat. brando)","Loud Luxury",1194928,https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs
75,Money,"Cardi B",1193150,https://open.spotify.com/track/2GGMabyHXnJmjY6CXhhB2e
76,"Zero - From the Original Motion Picture ""Ralph Breaks The Internet""","Imagine Dragons",1186843,https://open.spotify.com/track/2bzitsPcImYC6DZWvvLCQi
77,"God's Plan",Drake,1181396,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn
78,"This Feeling","The Chainsmokers",1176910,https://open.spotify.com/track/4edS9dC0JPBlSS4p4gMOT0
79,"No Es Justo","J Balvin",1166037,https://open.spotify.com/track/5qFeMRz4TvetPmzjre9Dq7
80,changes,XXXTENTACION,1160120,https://open.spotify.com/track/7AFASza1mXqntmGtbxXprO
81,Imposible,"Luis Fonsi",1158347,https://open.spotify.com/track/3ao3OVxHlb3C08vAaApUlm
82,Runaway,"Lil Peep",1148060,https://open.spotify.com/track/1FBi1YWCAxlRmfuUbMINqO
83,"Amigos Con Derechos",Reik,1146689,https://open.spotify.com/track/2zDj4WjbNDmrRL6Z4YjjCA
84,"Toxic Waste","Trippie Redd",1138968,https://open.spotify.com/track/1SxagO9GK0UUeEYLmH8Pln
85,"Broken Smile (My All)","Lil Peep",1138324,https://open.spotify.com/track/1BCBBO8VUEFOb6RBct4XDp
86,2002,Anne-Marie,1137254,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo
87,"Solo (feat. Demi Lovato)","Clean Bandit",1136170,https://open.spotify.com/track/6kPJZM97LwdG9QIsT7khp6
88,"Shape of You","Ed Sheeran",1134611,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
89,Believer,"Imagine Dragons",1126588,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
90,"Don't Come Out The House (with 21 Savage)","Metro Boomin",1123024,https://open.spotify.com/track/1m6lqaLvUTxPjOo98fJH8U
91,"One Kiss (with Dua Lipa)","Calvin Harris",1113345,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
92,"Beautiful (feat. Camila Cabello)",Bazzi,1112451,https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF
93,"Leave Me Alone","Flipp Dinero",1109353,https://open.spotify.com/track/14mHfNsSHN0FbLftyjrV9g
94,POP/STARS,K/DA,1102240,https://open.spotify.com/track/5sbooPcNgIE22DwO0VNGUJ
95,"Lucky You (feat. Joyner Lucas)",Eminem,1101902,https://open.spotify.com/track/60SdxE8apGAxMiRrpbmLY0
96,Shotgun,"George Ezra",1094924,https://open.spotify.com/track/4ofwffwvvnbSkrMSCKQDaC
97,Boomerang,"Imagine Dragons",1091271,https://open.spotify.com/track/2B1fuWoWaYnCXbjYp1gXg5
98,"Ella Quiere Beber - Remix","Anuel Aa",1090852,https://open.spotify.com/track/2cYnZNzFRFK0H7vSNxPsUq
