,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,ซ่อนกลิ่น,Palmy,40084,https://open.spotify.com/track/7woh2lJvyILYxSQ1kXTI3d
2,"ลาลาลอย (100%)","The Toys",36872,https://open.spotify.com/track/3f3L2MP4oniV1bmSxGbcW4
3,ดูดี,Polycat,29417,https://open.spotify.com/track/4afuOwuWWRoS8HEw1cyVUZ
4,อาวรณ์,Polycat,26185,https://open.spotify.com/track/2USX969yFQ250hBULh6Ope
5,"thank u, next","Ariana Grande",25135,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH
6,เป็นไรไหม?,OG-ANIC,25106,https://open.spotify.com/track/09Mn2O6dtMLCKdeD0BtLdO
7,"La Vie en Rose",IZ*ONE,20310,https://open.spotify.com/track/1fRaznZsAB2i63TtmYv2Hc
8,มีผลต่อหัวใจ,"Non Tanon",19526,https://open.spotify.com/track/6LxsOkPSGBOsPhDKFAgYVM
9,เสือสิ้นลาย,F.HERO,18654,https://open.spotify.com/track/42pEFPN6KrUydf2ufdampZ
10,หมอกร้าย,Lipta,17360,https://open.spotify.com/track/0EYgFMIXhjcFgX6xe2NY9v
11,ติดตลก,"Oat Pramote",17010,https://open.spotify.com/track/6YYcwUa7auypfzwUZoNEGY
12,พูดไม่ออก,"The Toys",16935,https://open.spotify.com/track/36QNwsq4EpOdS3E4WEJphO
13,"Kiss and Make Up","Dua Lipa",16411,https://open.spotify.com/track/13hvHEstJ4sNbzdroPrPI3
14,ความเงียบดังที่สุด,Getsunova,16303,https://open.spotify.com/track/49o9ToewyZywgB5KlaB3WN
15,"ความหมาย (เพลงประกอบละคร พรหมไม่ได้ลิขิต)","Atom Chanakan",15144,https://open.spotify.com/track/2K6iFUok3ie5reehHJTTMy
16,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",15130,https://open.spotify.com/track/1A6OTy97kk0mMdm78rHsm8
17,"ครึ่งๆ กลางๆ",Bodyslam,14875,https://open.spotify.com/track/0f23VtodRD5ISi5qXm2KqR
18,หนึ่งคืน,"Atom Chanakan",14044,https://open.spotify.com/track/33diPovBu4Vxw4k83wrKmB
